smiles_list,monomer_ID,replicate_count,heavy_atom_count,Cv,Cv_std,Cv_count,Cv_raw
*CC(*)c1nc(C)nc(C)n1,PI383,1,10,-0.008468965794210468,0.0,1,3073.54415432157
*C(C)C(*)OCC,PI286,1,6,1.0469257521868516,0.0,1,3801.5409811964
*CC(*)OC(=O)CCCCC,PI385,1,10,0.8589424722584033,0.0,1,3671.8726884128
*C(C)C(*)O,PI297,2,4,0.7971913127078165,268.514848715244,2,3629.2775840004288
*CC(*)OC(=O)c1ccccc1OC(C)=O,PI331,2,15,-0.2766776739014861,108.23025081739083,2,2888.537459560191
*CC(*)C(=O)Oc1ccccc1C(=O)OCC,PI466,1,16,-0.45878640132876053,0.0,1,2762.921352662404
*/C=C\CCCCC*,PI74,1,7,1.7198793504331071,0.0,1,4265.735159744548
*C(C)C(*)OC(C)(C)C,PI285,2,8,1.0995384810884992,69.78077010761162,2,3837.8325212629406
*CC(*)C(=O)N1CCCCC1,PI461,1,10,0.8554551953075383,0.0,1,3669.467212516995
*C=CC(C*)OC,PI303,3,6,0.7046915319067614,177.93423876272863,3,3565.4725016340853
*Nc1ccc(*)cc1,PI1131,2,7,-0.15338476810243068,76.9449872494677,2,2973.583217956246
*c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)nc1,PI715,1,28,-0.907931491556691,0.0,1,2453.107218744965
*CC(*)c1ccccc1C(=O)OCC(C)C,PI103,1,15,0.18090874234345247,0.0,1,3204.1743045925327
*CC(*)OC(=O)c1ccc(OC)cc1,PI359,2,13,-0.22906607164507112,146.37290569001297,2,2921.3792909381255
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,PI1092,2,49,-0.9683944219454048,59.9573390604912,2,2411.400717171089
*C(=O)c1ccc2c(c1)C(=O)N(c1cc(C(c3ccc(O)c(N4C(=O)c5ccc(*)cc5C4=O)c3)(C(F)(F)F)C(F)(F)F)ccc1O)C2=O,PI1041,1,47,-1.2317163040895733,0.0,1,2229.7648880526963
*CC(*)Cc1ccccc1,PI26,1,9,0.46368564024383124,0.0,1,3399.2299372176312
*CC(*)c1ccc(C(=O)CCC)cc1,PI168,2,13,0.5221096397134845,8.573549114121834,2,3439.530012158889
*CC(*)CCCCCC,PI30,1,8,1.8529187135597927,0.0,1,4357.503890964797
*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,PI969,4,49,-0.7725901354254787,4.248573985910521,4,2546.4638332227596
*c1ccc(-c2nc3cc4nc(*)oc4cc3o2)cc1,PI547,1,18,-0.9690026993419921,0.0,1,2410.9811357509525
*CC(*)c1ccc(Br)cc1,PI136,1,9,-1.6988845113511921,0.0,1,1907.5186547629785
*CC(*)c1ccccc1C(=O)OC,PI98,1,12,-0.06649494905680162,0.0,1,3033.5186255106364
*c1ccc(Oc2ccc(N3C(=O)c4cccc(Oc5cccc6c5C(=O)N(*)C6=O)c4C3=O)cc2)cc1,PI1060,5,36,-0.9642387991070754,28.38956828550006,5,2414.26720890963
*C(CC)C(*)CC,PI62,1,6,1.982743460778071,0.0,1,4447.055224143281
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccccc6Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,PI1072,5,58,-1.091785268335546,89.30129670185867,5,2326.2874006962247
*CCCCCCCCCCN1C(=O)C2C3C=CC(C4C(=O)N(*)C(=O)C34)C2C1=O,PI1080,3,28,0.19921995592053288,108.91296963919238,3,3216.8051290160647
*CCC=C(*)CCC,PI77,1,7,1.3615764735914648,0.0,1,4018.582740884783
*CC(*)c1ccc(OC(C)=O)cc1,PI232,1,12,-0.02911482199922701,0.0,1,3059.302925377277
*CC(*)c1ccccc1C(=O)NC,PI94,2,12,0.02693963633391585,3.0328074658212634,2,3097.9685232843603
*CC(*)c1ccc(I)cc1,PI176,1,9,-2.2407567385548233,0.0,1,1533.7426113026977
*CCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,PI658,1,26,-1.1617811149620296,0.0,1,2278.005224018312
*CC(*)NC(=O)OC(C)(C)C,PI348,2,10,0.41756133376815197,95.20187719514423,2,3367.414022106429
*CC(*)c1ccc(C(=O)OCC)cc1,PI161,1,13,-0.025595963234788566,0.0,1,3061.730185975693
*CC(*)OC(=O)c1ccc(CC)cc1,PI344,2,13,0.16666614939929955,9.251507215033852,2,3194.3499589774174
*CC(*)C(=O)OC(F)(C(F)(F)Cl)C(F)(F)Cl,PI434,1,15,-2.225081079736759,0.0,1,1544.5554661372885
*C1CCC1*,PI72,2,4,0.958053126090279,24.752930544992818,2,3740.237860485217
*c1ccc(-c2ccc(N3C(=O)c4ccc(-c5cccc6c5C(=O)N(*)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,PI1106,1,42,-1.3803729449569697,0.0,1,2127.223572465709
*CC(*)c1ccc(COCCOCC)cc1,PI133,2,15,0.5927378285976085,35.29145452264641,2,3488.2483698686165
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,PI398,1,34,0.2749083267590469,0.0,1,3269.013930958119
*CC(*)c1ccc(CCCCCCCCC)cc1,PI126,1,17,1.2896830642343466,0.0,1,3968.9916514151328
*CC(*)CC(C)C,PI7,1,6,1.7574046781230757,0.0,1,4291.619617019447
*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc4c(c3)C(=O)N(c3ccc(-c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc3)C4=O)cc2)cc1,PI958,2,55,-0.7305691311651863,84.45256003364187,2,2575.449346644796
*Cc1cc(*)c(O)cc1C,PI1138,1,9,-0.08535328498261968,0.0,1,3020.5104035816903
*CC(*)C(=O)Oc1ccc(C(=O)OCCCC)cc1,PI471,2,18,0.028273359377217838,216.72642873846027,2,3098.888507179401
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,PI1083,5,46,-1.236930055454162,28.08187477939554,5,2226.1685137437594
