smiles_list,monomer_ID,replicate_count,heavy_atom_count,refractive_index,refractive_index_std,refractive_index_count,refractive_index_raw
*CC(*)OC(=O)C(F)(F)C(F)(F)F,PI352,1,12,-2.217978133777785,0.0,1,1.3564699576637966
*CC(*)N1CCNC1,PI400,3,7,-0.07102383438515979,0.002997960549300933,3,1.5271740258993305
*CC(*)O[N+](=O)[O-],PI267,1,6,-0.5561780722987707,0.0,1,1.4885994730283203
*c1ccc2c(c1)Cc1cc(-n3c(=O)c4cc5c(=O)n(*)c(=O)c5cc4c3=O)ccc1-2,PI676,1,29,1.6044057866624144,0.0,1,1.6603872258431067
*Oc1ccc(C(C)(C)c2ccc(OC(*)=O)c(CC)c2)cc1CC,PI1118,2,23,-0.21342004371412565,0.0031643675922984824,2,1.5158521210778586
*CC(*)NC(=O)OC(C)(C)C,PI348,2,10,-1.0626318378821167,0.004082896531513071,2,1.4483313973721499
*CC(*)Cc1ccccc1C,PI295,1,10,0.21222824851415317,0.0,1,1.5496953636384618
*CCCC=C(*)c1ccc(Cl)cc1,PI391,2,12,1.2432536213416792,0.001035571430535652,2,1.6316720622787204
*C=CCC(C)(CC*)C(=O)OC,PI280,1,11,-0.817913737027406,0.0,1,1.467788903010994
*CC(*)CCCCCCC,PI11,1,9,-0.8524651535147514,0.0,1,1.4650417242008262
*CC(*)c1ccccc1F,PI112,2,9,0.028572026455375675,0.003233332759156488,2,1.5350928803573454
*C(C)C(*)OC(C)(C)C,PI285,2,8,-1.2480529598851806,0.005398821905631644,2,1.4335885871168619
*CC(*)OCCOC,PI375,2,7,-0.8010647822980442,0.0007563406973865319,2,1.4691285612974476
*CC(*)Cc1cccc(C)c1,PI294,1,10,0.3590215344959501,0.0,1,1.5613668794754985
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(*)C7=O)cc5C4=O)cc3)c(-c3ccccc3)c2)cc1,PI1036,1,48,1.6846208440884627,0.0,1,1.666765115041888
*CC(*)c1ccc(COCCO)cc1,PI148,1,13,0.26814991369990304,0.0,1,1.5541416882539478
*Oc1c(C)cc(C(C)(C)c2cc(C)c(ON3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(*)C9=O)cc7)CCC(C(C)(C)C)CC6)cc5)cc4C3=O)c(C)c2)cc1C,PI1012,4,67,0.4421508796624285,0.0035868328018343735,4,1.5679764833285885
*c1ccc(C(C)(C)c2ccc(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI985,4,38,1.3808080433232748,0.005389101966640999,4,1.6426089971928397
*CC(*)C(=O)C1CCCCC1,PI300,1,10,-0.9749202456556155,0.0,1,1.4553053351167566
*CC(*)c1ccccc1C(=O)OCC,PI99,2,13,0.01123195782033241,0.009080954072178939,2,1.5337141736655808
*CC(*)c1ccc(OC(C)=O)cc1,PI232,1,12,0.14107700340145324,0.0,1,1.5440381370248364
*CC(*)P(=O)(Oc1ccccc1)N(C)C,PI382,1,14,0.029320917673397038,0.0,1,1.5351524246045696
*CC(*)C(=O)N1CCCCC1,PI461,1,10,-0.5193247729941097,0.0,1,1.4915296742538364
*C1CCC(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3C2=O)CC1,PI978,5,28,1.267811260882964,0.00567088197289408,5,1.6336246371319183
*CC(*)c1ccccc1COC(C)C,PI88,1,13,-0.16204711310943007,0.0,1,1.5199367763748457
*CC(*)CCCCCCCCCCC,PI63,1,13,-0.9366973657402585,0.0,1,1.4583444315255976
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,PI346,1,15,-2.3710083333265604,0.0,1,1.344302545607908
*CC(*)OC(=O)CCCCCCC,PI370,1,12,-1.0205043776638956,0.0,1,1.451680946473272
*CC(*)c1ccc(C(C)(C)O)cc1,PI139,1,12,0.07421551789143842,0.0,1,1.5387219886615202
*CCCC(*)(C)C,PI17,1,6,-0.8536654735808831,0.0,1,1.4649462869022627
*c1ccc(Oc2cc(C(C)(C)C)ccc2Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)cc2)cc1,PI1037,3,46,1.38186598520867,0.005100339091020675,3,1.642693114020033
*CC(*)c1ccc(C(C)(O)CC)cc1,PI140,2,13,-0.09546625463984808,0.003947328400282698,2,1.5252306121172214
*CC(*)c1ccc(COCCCCCCOc2ccc(-c3ccc(OC)cc3)cc2)cc1,PI234,1,31,0.9747454120887148,0.0,1,1.6103230080920123
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(C7(c8ccc(Oc9ccc%10c(c9)C(=O)N(*)C%10=O)cc8)CCCCCCCCCCC7)cc6)cc5C4=O)cc3)c(C(C)(C)C)c2)cc1,PI1044,1,72,0.7170549580396514,0.0,1,1.5898340722706576
*CC(*)OC(=O)CCCCC,PI385,1,10,-1.2014663767550098,0.0,1,1.437292680523863
*CC(*)c1cc(C)ccc1C,PI192,1,10,0.06383680704698104,0.0,1,1.5378967786583588
*CC1CC(*)C(OC(=O)CCCCCCCCCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,PI398,1,34,0.3729308267266952,0.0,1,1.5624728055637886
*CC(*)c1ccccc1C(=O)OCCC,PI100,2,14,0.02612927859317792,0.0009788953498324395,2,1.5348986577798696
*CC(*)OC(C)=O,PI259,2,6,-1.0060378041439617,0.0010073857890338911,2,1.452831181927273
*CC(*)C(=O)OC(C(F)(F)F)C(F)(F)F,PI431,1,14,-2.399812872385319,0.0,1,1.3420123003044238
*CC(*)c1ccc(C(=O)N(C)C)cc1,PI155,3,13,0.3535944383352088,0.0014787384221549198,3,1.5609353717374874
*/C=C/CCCCCCCCCC*,PI55,1,12,-0.5905628169258511,0.0,1,1.4858655462769483
*Oc1ccc(C2(c3ccc(OC(*)=O)cc3)CCCCC2)cc1,PI801,1,22,0.3240040964594116,0.0,1,1.5585826473501505
*Oc1cccc2c(OC(=O)Oc3ccc(OC(*)=O)cc3)cccc12,PI817,1,24,1.0620175888806187,0.0,1,1.617262007970288
*C1CCC1*,PI72,2,4,-0.5499520497532409,0.009593477701531045,2,1.4890945033034169
*CC(*)c1ccc(CCC)cc1,PI233,2,11,0.11381972979020559,0.001972454482519535,2,1.541870914603863
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,PI128,2,20,-0.38252917238091055,0.001161124679329107,2,1.5024062753757152
*c1cc(C(c2ccc(O)c(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(*)C6=O)cc4C3=O)c2)(C(F)(F)F)C(F)(F)F)ccc1O,PI1097,2,45,0.2935248078025101,0.00348569741930056,2,1.5561592429152586
*CC(*)c1ccc(I)cc1,PI176,1,9,0.778182310755359,0.0,1,1.5946943004515703
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,PI158,1,18,0.09856259950861002,0.0,1,1.540657822080466
*CC(CCl)O*,PI526,1,5,-0.30886964017515983,0.0,1,1.5082629355828772
*CCCC=C(*)c1ccccc1,PI390,1,11,1.2041458280042707,0.0,1,1.6285626065141992
*CC(*)C(=O)Oc1ccc(C(=O)OCC)cc1,PI470,1,16,0.05732173667889075,0.0,1,1.5373787662269864
*CC(*)C(=O)c1ccccc1,PI321,1,10,0.6921747012920612,0.0,1,1.5878558461636745
*CC(*)c1ccc(C(C)=O)cc1,PI218,1,11,0.5130772434903438,0.0,1,1.5736158296593437
*CC(*)CC(C)C,PI7,1,6,-0.8759339323192522,0.0,1,1.4631757245288344
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(C)(C)CCCCCCCCC(*)(C)C)cc5C4=O)cc3)cc1)C2=O,PI989,4,49,0.9097593419792799,0.0026558798030659318,4,1.6051559737729966
*CCCCOC(=O)NCC(F)(F)C(F)(F)C(F)(F)C(F)(F)CNC(=O)O*,PI658,1,26,-1.7068006367231598,0.0,1,1.3971136166193543
*CCCCCCCC(*)C,PI19,1,9,-0.8437409589419753,0.0,1,1.4657353838218403
*C(=O)Oc1ccc(OC(=O)c2ccc3c(c2)C(=O)N(c2ccc(C(=O)Oc4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc2)C3=O)cc1,PI1092,2,49,1.944744381901596,0.0025498807908431653,2,1.6874475050494833
